event name,latitude,longitude,depth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,MrrError,MttError,MppError,MrtError,MrpError,MtpError,half duration,moment,magnitude,exponent,year,month,day,dayofweek,is_weekend,is_weekday,hour,minute,second
27,-28.59,-71.47,66.0,29.032218051385197,27.775171905949538,29.01690569642799,28.493270081410902,29.18449019458669,28.420619693108325,22.8494194137969,23.090258052931315,23.069668096911595,27.301045586556025,27.477132473848865,22.94250410616808,1.7,24.088844562727004,5.33,24,1978,2,17,4,0,1,6,43,33
28,-19.55,-69.42,118.4,29.032204250999087,27.775243199264985,29.016915905228377,28.493268997644233,29.18448585869489,28.420605679839483,23.00432137378264,23.26245108973043,23.20682587603185,27.301054966878777,27.47713225670718,23.27875360095283,2.2,24.42862067267194,5.55,24,1978,4,2,6,1,0,9,7,14
29,-23.7,-68.05,128.7,29.032206726979435,27.775164129511555,29.016917872608726,28.493274674487246,29.18448335392237,28.42059720471691,22.954242509439325,23.212187604403958,23.117271295655765,27.30104997275068,27.477131822423484,23.19033169817029,2.5,24.487845120111437,5.59,24,1978,6,7,2,0,1,14,8,53
30,-27.2,-69.92,119.7,29.03221441331645,27.775162081522996,29.016910028096415,28.49326186452302,29.184486371291115,28.420612595021247,22.83758843823551,23.078819183098847,23.0565237240791,27.30104070089102,27.477128608710625,22.933487287848706,1.5,23.799960527405982,5.13,23,1978,6,28,2,0,1,7,28,3
31,-26.54,-70.4,69.3,29.03161122233683,27.780598108323545,29.01722079712678,28.49303958831765,29.183990601279955,28.42136039048082,24.397940008672037,24.230448921378272,24.204119982655925,27.301507457038436,27.477497480263114,24.146128035678238,11.0,26.34830486304816,6.83,26,1978,8,3,3,0,1,18,11,23
32,-31.79,-68.11,25.0,29.03221776145377,27.775157300416037,29.01690683386063,28.493274475031857,29.184489583452347,28.4206161828261,22.788168371141168,23.052693941924968,22.911157608739977,27.30105826731452,27.477139320994333,22.73399928653839,1.6,24.072249897613514,5.31,24,1978,8,21,0,0,1,0,28,30
33,-21.86,-66.03,299.6,29.032202158099153,27.775181183560775,29.01692162773247,28.493265580344232,29.18447497617689,28.42058452470135,23.184691430817598,23.414973347970818,23.342422680822207,27.301075811315087,27.477147311606878,23.356025857193124,1.5,24.767378524114182,5.78,24,1978,10,27,4,0,1,10,6,56
34,-36.4,-72.57,50.0,29.032237792477833,27.77486076164828,29.016903073178664,28.49324478305302,29.18449971419937,28.420663022724252,23.429752280002408,23.576341350205794,23.73878055848437,27.30108601603891,27.477161063222642,23.434568904034197,3.3,24.86236993712288,5.84,24,1978,12,21,3,0,1,1,13,57
35,-20.18,-70.86,39.5,29.032218655038747,27.775183071125916,29.016904431589367,28.493262998521377,29.184486596208494,28.420619068217512,22.75434833571102,22.959518376972998,22.815577748324266,27.301049799040843,27.477136150764927,22.822821645303105,1.6,23.954242509439325,5.24,23,1978,12,24,6,1,0,0,2,10
36,-24.17,-67.95,137.0,29.032213251563626,27.77517894616599,29.0169102649376,28.493267859477097,29.18448603050699,28.420607277562933,22.739572344450092,22.99913054128737,22.90471554527868,27.301042676877707,27.477127450610073,22.94939000664491,1.7,24.004751155591002,5.27,24,1979,1,13,5,1,0,8,39,18
37,-17.05,-72.38,55.0,29.032219320387377,27.77502599618811,29.016912743199246,28.49324241173591,29.18449143332383,28.420622481198603,22.934498451243567,23.230448921378272,23.264817823009537,27.301055618282554,27.477133559555664,22.986771734266245,2.3,24.429590802223302,5.55,24,1979,2,16,4,0,1,22,18,22
38,-35.79,-71.42,122.7,29.032213880628365,27.77515283265723,29.016911114139585,28.49325117159587,29.184484702866282,28.420612901700576,22.785329835010767,22.94939000664491,23.02530586526477,27.30104302430301,27.47713080909317,22.99563519459755,1.8,24.16761267272753,5.38,24,1979,3,20,1,0,1,21,41,27
39,-24.31,-67.07,194.2,29.032210408663527,27.775046190450134,29.016920813220064,28.493294326670433,29.18448136315749,28.42059112033432,22.963787827345556,23.152288344383056,23.100370545117563,27.30104866992521,27.477133559555664,23.096910013008056,2.4,24.6414741105041,5.69,24,1979,4,18,2,0,1,17,59,17
40,-33.91,-72.07,33.7,29.032236465868404,27.775269212617207,29.01688104227157,28.493284535559024,29.184470048851104,28.42060167313872,23.100370545117563,23.230448921378272,23.32633586092875,27.301078199676198,27.47717741984072,23.164352855784436,3.3,24.941163460158474,5.89,24,1979,4,26,3,0,1,2,0,11
41,-27.39,-71.17,21.1,29.03226840417528,27.774730775749724,29.0168788031938,28.49310070901108,29.184467157748628,28.420479393278946,23.57978359661681,23.7481880270062,23.73239375982297,27.301362103927417,27.477286255274667,23.633468455579585,4.5,25.291812687467118,6.13,25,1979,4,28,5,1,0,11,38,25
