date,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,et0_fao_evapotranspiration,vapor_pressure_deficit,time_of_day,region
1940-01-01,20.95,64.90436,14.1,0.0,0.0,0.0,0.0,0.15230313,0.87036943,Madrugada,"Point (-30, 0)"
1940-01-01,21.05,64.925896,14.2,0.0,0.0,0.0,0.0,0.2892514,0.87518275,Madrugada,"Point (-30, 0)"
1940-01-01,21.05,64.925896,14.2,0.0,0.0,0.0,0.0,0.38806915,0.87518275,Madrugada,"Point (-30, 0)"
1940-01-01,21.25,62.898937,13.9,0.0,0.0,0.0,0.0,0.4645836,0.9371934,Madrugada,"Point (-30, 0)"
1940-01-01,21.25,63.308228,14.0,0.0,0.0,0.0,0.0,0.50330365,0.926849,Madrugada,"Point (-30, 0)"
1940-01-01,21.35,63.33042,14.1,0.0,0.0,0.0,0.0,0.553529,0.93196917,Madrugada,"Point (-30, 0)"
1940-01-01,21.35,63.535847,14.15,0.0,0.0,0.0,0.0,0.5413335,0.9267452,Madrugada,"Point (-30, 0)"
1940-01-01,21.35,63.94848,14.25,0.0,0.0,0.0,0.0,0.476682,0.9162524,Madrugada,"Point (-30, 0)"
1940-01-01,21.35,65.20054,14.55,0.0,0.0,0.0,0.0,0.41057009,0.88441443,Madrugada,"Point (-30, 0)"
1940-01-01,21.4,65.421936,14.65,0.0,0.0,0.0,0.0,0.37282673,0.881474,Madrugada,"Point (-30, 0)"
1940-01-01,21.4,65.421936,14.65,0.0,0.0,0.0,0.0,0.29538697,0.881474,Madrugada,"Point (-30, 0)"
1940-01-01,21.4,65.63325,14.7,0.0,0.0,0.0,0.0,0.18906735,0.8760841,Madrugada,"Point (-30, 0)"
1940-01-01,21.4,65.84516,14.75,0.0,0.0,0.0,0.0,0.10753526,0.87067914,Madrugada,"Point (-30, 0)"
1940-01-01,21.4,66.2708,14.85,0.0,0.0,0.0,0.0,0.082112566,0.85982347,Madrugada,"Point (-30, 0)"
1940-01-01,21.4,66.69884,14.95,0.0,0.0,0.0,0.0,0.07975221,0.84890616,Madrugada,"Point (-30, 0)"
1940-01-01,21.5,70.00653,15.8,0.0,0.0,0.0,0.0,0.07275079,0.76923215,Madrugada,"Point (-30, 0)"
1940-01-01,21.35,72.01928,16.1,0.0,0.0,0.0,0.0,0.07003007,0.7110442,Madrugada,"Point (-30, 0)"
1940-01-01,21.35,73.4091,16.4,0.0,0.0,0.0,0.0,0.06891568,0.67571163,Madrugada,"Point (-30, 0)"
1940-01-01,21.45,73.89466,16.6,0.0,0.0,0.0,0.0,0.06697235,0.66743267,Madrugada,"Point (-30, 0)"
1940-01-01,21.4,76.75185,17.15,0.0,0.0,0.0,0.0,0.054399274,0.59254456,Madrugada,"Point (-30, 0)"
1940-01-01,21.35,79.207016,17.6,0.1,0.1,0.0,0.0,0.046401873,0.5283308,Madrugada,"Point (-30, 0)"
1940-01-01,21.05,84.57393,18.35,0.8,0.8,0.0,0.0,0.029599875,0.3848033,Madrugada,"Point (-30, 0)"
1940-01-01,20.55,88.31614,18.55,1.1,1.1,0.0,0.0,0.028592257,0.28263116,Madrugada,"Point (-30, 0)"
1940-01-01,20.15,88.838524,18.25,0.9,0.9,0.0,0.0,0.053273726,0.26342392,Madrugada,"Point (-30, 0)"
1940-01-01,20.15,87.18009,17.95,0.6,0.6,0.0,0.0,0.07619341,0.302572,Madrugada,"Point (-30, 0)"
1940-01-01,20.35,82.65197,17.3,0.1,0.1,0.0,0.0,0.11769569,0.4145484,Madrugada,"Point (-30, 0)"
1940-01-01,20.5,75.88277,16.1,0.0,0.0,0.0,0.0,0.16018069,0.5817081,Madrugada,"Point (-30, 0)"
1940-01-01,20.7,72.828636,15.65,0.0,0.0,0.0,0.0,0.23315959,0.6635103,Madrugada,"Point (-30, 0)"
1940-01-01,20.75,71.451065,15.4,0.0,0.0,0.0,0.0,0.3517046,0.6993083,Madrugada,"Point (-30, 0)"
1940-01-01,20.75,68.96948,14.85,0.0,0.0,0.0,0.0,0.43103543,0.760123,Madrugada,"Point (-30, 0)"
1940-01-01,20.6,65.67596,13.95,0.0,0.0,0.0,0.0,0.4027505,0.83312714,Madrugada,"Point (-30, 0)"
1940-01-01,20.45,65.85757,13.85,0.0,0.0,0.0,0.0,0.35301298,0.82110584,Madrugada,"Point (-30, 0)"
1940-01-01,20.35,66.696655,13.95,0.0,0.0,0.0,0.0,0.3918219,0.7959999,Madrugada,"Point (-30, 0)"
1940-01-01,20.25,66.459785,13.8,0.0,0.0,0.0,0.0,0.35298547,0.796739,Madrugada,"Point (-30, 0)"
1940-01-01,20.15,67.74536,14.0,0.0,0.0,0.0,0.0,0.2682606,0.7614769,Madrugada,"Point (-30, 0)"
1940-01-01,20.05,68.16576,14.0,0.0,0.0,0.0,0.0,0.20185767,0.74692357,Madrugada,"Point (-30, 0)"
1940-01-01,19.9,68.13561,13.85,0.0,0.0,0.0,0.0,0.13760385,0.74073565,Madrugada,"Point (-30, 0)"
1940-01-01,19.8,67.89455,13.7,0.0,0.0,0.0,0.0,0.12067754,0.7417407,Madrugada,"Point (-30, 0)"
